ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,NON_COMPLIANCE,DATE_IMPLEMENTED
4245,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,24/01/2020
4246,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,Yes,,26/01/2020
4247,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,,27/01/2020
4248,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,,27/01/2020
23,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Border checks,Yes,,01/02/2020
4249,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,02/02/2020
4250,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,,,02/02/2020
4251,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,04/02/2020
4252,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,04/02/2020
4253,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,,06/02/2020
4254,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,Yes,,08/02/2020
1,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,,12/02/2020
2,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,No,,12/02/2020
3,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,12/02/2020
4,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,No,,12/02/2020
4255,Afghanistan,AFG,Kabul,,Asia,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,12/02/2020
4256,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,No,,13/02/2020
4257,Afghanistan,AFG,,,Asia,Introduction / extension of measures,Public health measures,Other public health measures enforced,No,,20/02/2020
