,Country Code,Country Name,Population,Density,,,,Country/Region,,,
0,ABW,Aruba,105845,588.0277778,,,,Afghanistan,,Afghanistan,
1,AFG,Afghanistan,37172386,56.93776001,,,,Algeria,,Algeria,
2,AGO,Angola,30809762,24.71305206,,,,Albania,,Albania,
3,ALB,Albania,2866376,104.6122628,,,,Andorra,,Andorra,
4,AND,Andorra,77006,163.8425532,,,,Antigua and Barbuda,,Antigua and Barbuda,
5,ARB,Arab World,419790588,37.37236537,,,,Argentina,,Argentina,
6,ARE,United Arab Emirates,9630959,135.6091101,,,,Armenia,,Armenia,
7,ARG,Argentina,44494502,16.2585101,,,,Aruba,,Aruba,
8,ARM,Armenia,2951776,103.6802248,,,,Australia,,Australia,
9,ASM,American Samoa,55465,277.325,,,,Austria,,Austria,
10,ATG,Antigua and Barbuda,96286,218.8318182,,,,Azerbaijan,,Azerbaijan,
11,AUS,Australia,24992369,3.249129487,,,,Bahrain,,Bahrain,
12,AUT,Austria,8847037,107.2069267,,,,Bangladesh,,Bangladesh,
13,AZE,Azerbaijan,9942334,120.2653199,,,,Barbados,,Barbados,
14,BDI,Burundi,11175378,435.178271,,,,Belarus,,Belarus,
15,BEL,Belgium,11422068,377.2149273,,,,Belgium,,Belgium,
16,BEN,Benin,11485048,101.8539198,,,,Benin,,Benin,
17,BFA,Burkina Faso,19751535,72.19128289,,,,Bhutan,,Bhutan,
18,BGD,Bangladesh,161356039,1239.579312,,,,Bolivia,,Bolivia,
19,BGR,Bulgaria,7024216,64.70353721,,,,Bosnia and Herzegovina,,Bosnia and Herzegovina,
20,BHR,Bahrain,1569439,2017.2737,,,,Brazil,,Brazil,
21,BHS,"Bahamas, The",385640,38.52547453,,,,Brunei,,#N/A,
22,BIH,Bosnia and Herzegovina,3323929,64.92048828,,,,Bulgaria,,Bulgaria,
23,BLR,Belarus,9485386,46.7287999,,,,Burkina Faso,,Burkina Faso,
24,BLZ,Belize,383071,16.79399386,,,,Cambodia,,Cambodia,
25,BMU,Bermuda,63968,1184.592572,,,,Cameroon,,Cameroon,
26,BOL,Bolivia,11353142,10.48014585,,,,Canada,,Canada,
27,BRA,Brazil,209469333,25.06171624,,,,Central African Republic,,Central African Republic,
28,BRB,Barbados,286641,666.6069767,,,,Chile,,Chile,
29,BRN,Brunei Darussalam,428962,81.39696395,,,,China,,China,
30,BTN,Bhutan,754394,19.77752777,,,,Colombia,,Colombia,
31,BWA,Botswana,2254126,3.977424876,,,,Congo (Brazzaville),,#N/A,
32,CAF,Central African Republic,4666377,7.490412212,,,,Congo (Kinshasa),,#N/A,
33,CAN,Canada,37058856,4.075308214,,,,Costa Rica,,Costa Rica,
34,CEB,Central Europe and the Baltics,102511922,92.76643663,,,,Cote d'Ivoire,,Cote d'Ivoire,
35,CHE,Switzerland,8516543,215.5213784,,,,Croatia,,Croatia,
36,CHI,Channel Islands,170499,861.1060938,,,,Cruise Ship,,#N/A,
37,CHL,Chile,18729160,25.18944607,,,,Cuba,,Cuba,
38,CHN,China,1392730000,148.3488333,,,,Cyprus,,Cyprus,
39,CIV,Cote d'Ivoire,25069229,78.83405346,,,,Czechia,,#N/A,
40,CMR,Cameroon,25216237,53.34398891,,,,Denmark,,Denmark,
41,COD,"Congo, Dem. Rep.",84068091,37.08259236,,,,Djibouti,,Djibouti,
42,COG,"Congo, Rep.",5244363,15.35684627,,,,Dominican Republic,,Dominican Republic,
43,COL,Colombia,49648685,44.74870212,,,,Ecuador,,Ecuador,
44,COM,Comoros,832322,447.2444775,,,,Egypt,,#N/A,
45,CPV,Cabo Verde,543767,134.9297767,,,,Equatorial Guinea,,Equatorial Guinea,
46,CRI,Costa Rica,4999441,97.91306306,,,,Estonia,,Estonia,
47,CSS,Caribbean small states,7358965,18.17701618,,,,Eswatini,,Eswatini,
48,CUB,Cuba,11338138,108.9995962,,,,Ethiopia,,Ethiopia,
49,CUW,Curacao,159849,,,,,Finland,,Finland,
50,CYM,Cayman Islands,64174,267.3916667,,,,France,,France,
51,CYP,Cyprus,1189265,128.7083333,,,,French Guiana,,#N/A,
52,CZE,Czech Republic,10625695,137.6028879,,,,Gabon,,Gabon,
53,DEU,Germany,82927922,237.3709698,,,,"Gambia, The",,"Gambia, The",
54,DJI,Djibouti,958920,41.36842105,,,,Georgia,,Georgia,
55,DMA,Dominica,71625,95.5,,,,Germany,,Germany,
56,DNK,Denmark,5797446,138.0673017,,,,Ghana,,Ghana,
57,DOM,Dominican Republic,10627165,219.9785759,,,,Greece,,Greece,
58,DZA,Algeria,42228429,17.73007507,,,,Greenland,,Greenland,
59,EAP,East Asia & Pacific (excluding high income),2081651801,130.8104315,,,,Guadeloupe,,#N/A,
60,EAR,Early-demographic dividend,3249140605,98.13836364,,,,Guam,,Guam,
61,EAS,East Asia & Pacific,2328220870,95.43160553,,,,Guatemala,,Guatemala,
62,ECA,Europe & Central Asia (excluding high income),417797257,18.47737541,,,,Guernsey,,#N/A,
63,ECS,Europe & Central Asia,918793590,33.4968853,,,,Guinea,,Guinea,
64,ECU,Ecuador,17084357,68.78868175,,,,Guyana,,Guyana,
65,EGY,"Egypt, Arab Rep.",98423595,98.87346929,,,,Holy See,,#N/A,
66,EMU,Euro area,341783171,127.5822777,,,,Honduras,,Honduras,
67,ERI,Eritrea,,,,,,Hungary,,Hungary,
68,ESP,Spain,46723749,93.52905826,,,,Iceland,,Iceland,
69,EST,Estonia,1320884,30.38610536,,,,India,,India,
70,ETH,Ethiopia,109224559,109.224559,,,,Indonesia,,Indonesia,
71,EUU,European Union,513213363,121.0781941,,,,Iran,,#N/A,
72,FCS,Fragile and conflict affected situations,515215936,39.86931254,,,,Iraq,,Iraq,
73,FIN,Finland,5518050,18.15685565,,,,Ireland,,Ireland,
74,FJI,Fiji,883483,48.35703339,,,,Israel,,Israel,
75,FRA,France,66987244,122.3383957,,,,Italy,,Italy,
76,FRO,Faroe Islands,48497,34.73996983,,,,Jamaica,,Jamaica,
77,FSM,"Micronesia, Fed. Sts.",112640,160.9142857,,,,Japan,,Japan,
78,GAB,Gabon,2119275,8.224764233,,,,Jersey,,#N/A,
79,GBR,United Kingdom,66488991,274.8273922,,,,Jordan,,Jordan,
80,GEO,Georgia,3731000,65.27520207,,,,Kazakhstan,,Kazakhstan,
81,GHA,Ghana,29767108,130.8214292,,,,Kenya,,Kenya,
82,GIB,Gibraltar,33718,3371.8,,,,"Korea, South",,#N/A,124
83,GIN,Guinea,12414318,50.52221227,,,,Kosovo,,Kosovo,
84,GMB,"Gambia, The",2280102,225.3065217,,,,Kuwait,,Kuwait,
85,GNB,Guinea-Bissau,1874309,66.65394737,,,,Kyrgyzstan,,#N/A,
86,GNQ,Equatorial Guinea,1308974,46.66573975,,,,Latvia,,Latvia,
87,GRC,Greece,10727668,83.22473235,,,,Lebanon,,Lebanon,
88,GRD,Grenada,111454,327.8058824,,,,Liberia,,Liberia,
89,GRL,Greenland,56025,0.136496528,,,,Liechtenstein,,Liechtenstein,
90,GTM,Guatemala,17247807,160.9537794,,,,Lithuania,,Lithuania,
91,GUM,Guam,165768,306.9777778,,,,Luxembourg,,Luxembourg,
92,GUY,Guyana,779004,3.957348235,,,,Malaysia,,Malaysia,
93,HIC,High income,1210312147,34.43776584,,,,Maldives,,Maldives,
94,HKG,"Hong Kong SAR, China",7451000,7096.190476,,,,Malta,,Malta,
95,HND,Honduras,9587522,85.68703191,,,,Martinique,,#N/A,
96,HPC,Heavily indebted poor countries (HIPC),780234406,44.89578165,,,,Mauritania,,Mauritania,
97,HRV,Croatia,4089400,73.077198,,,,Mauritius,,Mauritius,
98,HTI,Haiti,11123176,403.5985486,,,,Mayotte,,#N/A,
99,HUN,Hungary,9768785,107.9066055,,,,Mexico,,Mexico,
100,IBD,IBRD only,4772284113,68.7859052,,,,Moldova,,Moldova,
101,IBT,IDA & IBRD total,6412522234,68.70845188,,,,Monaco,,Monaco,
102,IDA,IDA total,1640238121,68.48408972,,,,Mongolia,,Mongolia,
103,IDB,IDA blend,555830605,93.32562183,,,,Montenegro,,Montenegro,
104,IDN,Indonesia,267663435,147.7521901,,,,Morocco,,Morocco,
105,IDX,IDA only,1084407516,60.26218738,,,,Namibia,,Namibia,
