Afghanistan,AFG,Partial lockdown,2020-03-28
Albania,ALB,Partial lockdown,2020-04-02
Algeria,DZA,Partial lockdown,2020-03-23
Argentina,ARG,Partial lockdown,2020-03-29
Armenia,ARM,Partial lockdown,2020-03-31
Australia,AUS,Partial lockdown,2020-03-29
Austria,AUT,Partial lockdown,2020-03-19
Belgium,BEL,Partial lockdown,2020-03-18
Benin,BEN,Partial lockdown,2020-03-30
Bolivia,BOL,Partial lockdown,2020-03-26
Botswana,BWA,Partial lockdown,2020-04-05
Brunei Darussalam,BRN,Partial lockdown,2020-03-18
Bulgaria,BGR,Partial lockdown,2020-03-13
Chile,CHL,Partial lockdown,2020-03-30
China,CHN,Partial lockdown,2020-01-23
Colombia,COL,Partial lockdown,2020-03-24
Congo,COG,Partial lockdown,2020-03-31
Congo DR,COD,Partial lockdown,2020-03-28
Cyprus,CYP,Partial lockdown,2020-03-24
Czech Republic,CZE,Partial lockdown,2020-03-16
Ecuador,ECU,Partial lockdown,2020-03-17
El Salvador,SLV,Partial lockdown,2020-03-22
Eritrea,ERI,Partial lockdown,2020-04-02
Estonia,EST,Partial lockdown,2020-03-30
Eswatini,SWZ,Partial lockdown,2020-03-27
Fiji,FJI,Partial lockdown,2020-04-03
France,FRA,Partial lockdown,2020-03-17
Georgia,GEO,Full lockdown,2020-03-30
Georgia,GEO,Partial lockdown,2020-03-23
Germany,DEU,Partial lockdown,2020-03-21
Ghana,GHA,Partial lockdown,2020-03-30
Greece,GRC,Partial lockdown,2020-03-23
Haiti,HTI,Partial lockdown,2020-03-20
Honduras,HND,Full lockdown,2020-04-06
Hungary,HUN,Partial lockdown,2020-03-17
India,IND,Partial lockdown,2020-03-16
Iran,IRN,Partial lockdown,2020-03-30
Iraq,IRQ,Full lockdown,2020-04-04
Iraq,IRQ,Partial lockdown,2020-03-11
Ireland,IRL,Partial lockdown,2020-03-28
Israel,ISR,Partial lockdown,2020-03-25
Italy,ITA,Full lockdown,2020-03-23
Italy,ITA,Partial lockdown,2020-03-23
Jordan,JOR,Partial lockdown,2020-03-18
Korea Republic of,KOR,Partial lockdown,2020-03-22
Lesotho,LSO,Partial lockdown,2020-03-30
Libya,LBY,Full lockdown,2020-03-29
Luxembourg,LUX,Partial lockdown,2020-03-17
Madagascar,MDG,Partial lockdown,2020-04-05
Malaysia,MYS,Full lockdown,2020-03-31
Malaysia,MYS,Partial lockdown,2020-04-01
Mauritius,MUS,Partial lockdown,2020-03-20
Mexico,MEX,Partial lockdown,2020-03-30
Moldova Republic of,MDA,Full lockdown,2020-03-25
Mongolia,MNG,Partial lockdown,2020-03-20
Namibia,NAM,Partial lockdown,2020-03-28
Nepal,NPL,Full lockdown,2020-03-24
Nepal,NPL,Partial lockdown,2020-03-29
New Zealand,NZL,Partial lockdown,2020-03-23
Nigeria,NGA,Partial lockdown,2020-03-30
Palestine,PSE,Partial lockdown,2020-04-03
Papua New Guinea,PNG,Partial lockdown,2020-04-07
Paraguay,PRY,Partial lockdown,2020-03-20
Peru,PER,Partial lockdown,2020-03-16
Philippines,PHL,Full lockdown,2020-04-01
Philippines,PHL,Partial lockdown,2020-03-26
Poland,POL,Partial lockdown,2020-03-24
Portugal,PRT,Partial lockdown,2020-04-03
Qatar,QAT,Partial lockdown,2020-03-22
Rwanda,RWA,Partial lockdown,2020-03-21
Saint Lucia,LCA,Partial lockdown,2020-03-30
Samoa,WSM,Partial lockdown,2020-03-25
Saudi Arabia,SAU,Partial lockdown,2020-03-25
Sierra Leone,SLE,Partial lockdown,2020-04-05
Slovenia,SVN,Partial lockdown,2020-03-19
South Africa,ZAF,Full lockdown,2020-03-27
Spain,ESP,Full lockdown,2020-03-28
Spain,ESP,Partial lockdown,2020-03-16
Sri Lanka,LKA,Full lockdown,2020-04-06
Switzerland,CHE,Full lockdown,2020-03-23
Switzerland,CHE,Partial lockdown,2020-03-16
Thailand,THA,Partial lockdown,2020-02-22
Togo,TGO,Partial lockdown,2020-03-21
Tonga,TON,Partial lockdown,2020-04-05
Uganda,UGA,Partial lockdown,2020-03-30
Ukraine,UKR,Partial lockdown,2020-04-06
United Kingdom,GBR,Partial lockdown,2020-03-24
Uruguay,URY,Partial lockdown,2020-03-24
Vanuatu,VUT,Partial lockdown,2020-03-22
Venezuela,VEN,Partial lockdown,2020-03-16
Zimbabwe,ZWE,Partial lockdown,2020-03-30
