ForecastId,ConfirmedCases,Fatalities
1,7.0,0.0
2,7.0,0.0
3,11.0,0.0
4,16.0,0.0
5,21.0,0.0
6,22.0,0.0
7,22.0,0.0
8,25.0,0.0
9,28.0,0.0
10,32.0,0.0
11,35.0,0.0
12,40.0,0.0
13,45.0,0.0
14,51.0,0.0
15,57.0,0.0
16,64.0,0.0
17,72.0,0.0
18,81.0,0.0
19,91.0,0.0
20,102.0,0.0
21,114.0,0.0
22,128.0,0.0
23,144.0,0.0
24,162.0,0.0
25,182.0,0.0
26,204.0,10.0
27,229.0,11.0
28,257.0,13.0
29,288.0,14.0
30,323.0,16.0
31,363.0,18.0
32,407.0,20.0
33,457.0,23.0
34,512.0,26.0
35,575.0,29.0
36,645.0,32.0
37,723.0,36.0
38,811.0,41.0
39,910.0,46.0
40,1021.0,51.0
41,1145.0,57.0
42,1285.0,64.0
43,1441.0,72.0
44,23.0,1.0
45,33.0,1.0
46,38.0,1.0
47,42.0,1.0
48,51.0,1.0
49,55.0,1.0
50,59.0,2.0
51,67.0,2.0
52,76.0,3.0
53,87.0,3.0
54,99.0,3.0
55,112.0,4.0
56,127.0,4.0
57,144.0,5.0
58,164.0,5.0
59,185.0,6.0
60,210.0,7.0
61,238.0,8.0
62,270.0,8.0
63,306.0,10.0
64,346.0,11.0
65,392.0,12.0
66,444.0,14.0
67,502.0,15.0
68,568.0,17.0
69,643.0,19.0
70,728.0,22.0
71,824.0,24.0
72,932.0,27.0
73,1055.0,31.0
74,1194.0,34.0
75,1351.0,39.0
76,1528.0,43.0
77,1729.0,49.0
78,1956.0,55.0
79,2212.0,62.0
80,2503.0,69.0
81,2831.0,78.0
82,3203.0,87.0
83,3623.0,98.0
84,4098.0,110.0
85,4636.0,123.0
86,5244.0,138.0
87,24.0,1.0
88,26.0,2.0
89,37.0,3.0
90,48.0,4.0
91,54.0,4.0
92,60.0,4.0
93,74.0,7.0
94,87.0,8.0
95,102.0,9.0
96,119.0,11.0
97,140.0,13.0
98,164.0,15.0
99,193.0,17.0
100,226.0,20.0
101,265.0,24.0
102,310.0,28.0
103,364.0,33.0
104,427.0,38.0
105,500.0,45.0
106,586.0,53.0
107,687.0,62.0
108,805.0,72.0
109,944.0,85.0
110,1106.0,100.0
111,1296.0,117.0
112,1519.0,137.0
113,1781.0,160.0
114,2087.0,188.0
115,2446.0,220.0
116,2867.0,258.0
117,3360.0,302.0
118,3938.0,354.0
119,4615.0,415.0
120,5409.0,487.0
121,6339.0,571.0
122,7429.0,669.0
123,8707.0,784.0
124,10205.0,918.0
125,11960.0,1076.0
126,14016.0,1261.0
127,16427.0,1478.0
128,19252.0,1733.0
129,22563.0,2031.0
130,1.0,0.0
131,1.0,0.0
132,1.0,0.0
133,1.0,0.0
134,2.0,0.0
135,39.0,0.0
136,39.0,0.0
137,41.0,0.0
138,42.0,0.0
139,44.0,0.0
140,46.0,0.0
141,48.0,0.0
142,49.0,0.0
143,51.0,0.0
144,53.0,0.0
145,55.0,0.0
146,57.0,0.0
147,59.0,0.0
148,62.0,0.0
149,64.0,0.0
150,66.0,0.0
151,68.0,0.0
152,71.0,0.0
153,73.0,0.0
154,76.0,0.0
155,78.0,0.0
156,81.0,0.0
157,83.0,0.0
158,86.0,0.0
159,89.0,0.0
160,92.0,0.0
161,95.0,0.0
162,98.0,0.0
163,101.0,0.0
164,104.0,0.0
165,107.0,0.0
166,110.0,0.0
167,114.0,0.0
168,117.0,0.0
169,121.0,0.0
170,125.0,0.0
171,128.0,0.0
172,132.0,0.0
173,0.0,0.0
174,1.0,0.0
175,1.0,0.0
176,1.0,0.0
177,1.0,0.0
178,1.0,0.0
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,1.0,0.0
183,1.0,0.0
184,1.0,0.0
185,1.0,0.0
186,1.0,0.0
187,1.0,0.0
188,1.0,0.0
189,1.0,0.0
190,1.0,0.0
191,1.0,0.0
192,1.0,0.0
193,1.0,0.0
194,1.0,0.0
195,1.0,0.0
196,1.0,0.0
197,1.0,0.0
198,1.0,0.0
199,1.0,0.0
200,1.0,0.0
201,1.0,0.0
202,1.0,0.0
203,1.0,0.0
204,1.0,0.0
205,1.0,0.0
206,1.0,0.0
207,1.0,0.0
208,1.0,0.0
209,1.0,0.0
210,1.0,0.0
211,1.0,0.0
212,1.0,0.0
213,1.0,0.0
214,1.0,0.0
215,1.0,0.0
216,19.0,1.0
217,31.0,2.0
218,34.0,2.0
219,45.0,2.0
220,56.0,2.0
221,68.0,2.0
222,79.0,2.0
223,95.0,2.0
224,115.0,2.0
225,138.0,2.0
226,166.0,2.0
227,199.0,2.0
228,240.0,2.0
229,288.0,3.0
230,346.0,3.0
231,416.0,3.0
232,501.0,3.0
233,602.0,3.0
234,723.0,3.0
235,869.0,3.0
236,1044.0,3.0
237,1254.0,3.0
238,1506.0,3.0
239,1810.0,4.0
240,2174.0,4.0
241,2612.0,4.0
242,3138.0,4.0
243,3770.0,4.0
244,4529.0,4.0
245,5440.0,4.0
246,6535.0,4.0
247,7851.0,4.0
248,9431.0,5.0
249,11329.0,5.0
250,13610.0,5.0
251,16349.0,5.0
252,19640.0,5.0
253,23592.0,5.0
254,28341.0,5.0
255,34044.0,6.0
256,40896.0,6.0
257,49127.0,6.0
258,59014.0,6.0
259,4.0,0.0
260,8.0,0.0
261,18.0,0.0
262,26.0,0.0
263,52.0,0.0
264,78.0,0.0
265,84.0,0.0
266,107.0,0.0
267,136.0,0.0
268,173.0,0.0
269,219.0,11.0
270,278.0,14.0
271,352.0,18.0
272,447.0,22.0
273,566.0,28.0
274,717.0,36.0
275,909.0,45.0
276,1151.0,58.0
277,1458.0,73.0
278,1846.0,92.0
279,2338.0,117.0
280,2960.0,148.0
281,3748.0,187.0
282,4746.0,237.0
